name	kind	ident	code_rva	shared
kRvaHub408	hash	e5d61bf016f90806277551163f451d39b8c696997e0c74d7cf0a76a67d1c250	0xD43970	0
kRvaSched	hash	e1cf9e44ad8c4ceff065afe10b4f6957fdaaa8aa24946d79da40186db113b0c	0xC24330	0
kRvaDispatch	plain	c49d3478f99e72e8e35170adb776277243b985d32377c096f63a16b8388fae9::OnButtonClicked	0x1CB9090	0
kRvaTick	hash	b46dc97cf703e71ec595707efeb017420e38f0347cc93932798eafe725fd5b9	0x1CC6A60	0
kRvaDensWrap	hash	f6a49957c0d54d701a78399cd0a7cd6db2e47d37e59610dfe266da753c2fd65	0x1CBEA00	0
kRvaDeadWrap	hash	e6daa2bfc64db5e1ff83b09f4fc096d35bdcc32832c65b46974da5c6879e9c6	0x1CB3430	0
kRvaUnwrap	hash	f6b649f06360de53f759a299254adc7cbc888961a7a06858e2cb99f37edc809	0xB5EA70	0
kRvaSendActivatePetRequest	hash	af0546617478a458e47164f9c0a4aeabebb20bf90a944f98d90ad58d0a74d96	0xCB0390	0
kRvaCollectAttackSkill	hash	e34c816dcbb3b01e9b5c5449cc08bfbc6f0870d1300a6a92f72ea9361ad28f5	0x3D613C0	0
kRvaSendAttackPacketCountCheck	hash	d791a6b094793f3c187d9c7c5fd23152e067a7d5aa944a0e3adfc0d7d01a630	0x3D61790	0
kRvaOutPacketEncode1Byte	hash	e6d31c983be1c416eb413a30be0c18bbeee5a6912e64fb86637beffab26c11a	0x1D97CC0	0
kRvaOutPacketEncode2Short	hash	f9fcddc1795093bcf0c154f2d10d7406b7f76c9b740f1aee2cbd13084d7cdea	0x1D98040	0
kRvaOutPacketEncode4Int	hash	f83d162c144da2d9357654487425fac2b57ec2843f3fda297f7d5f312451624	0x1D98150	0
kRvaNmSend	hash	d4807d1f75d069434d9967bd02c9c47f2c1ad75018b107394a5b3cf794376f5	0x1D8D900	0
kRvaUserLocalTalkToNpc	hash	e168d9847d3adcc7ca257cc7342222b5a1de092ebf5f3c58052b7b484b06491	0x113AF60	0
kRvaSendSellRequestPacket	hash	aae7f667c96e98eba1e387a0fc7761694d7be190baeea76d9d350a5c48e4234	0x56A4A0	0
kRvaSendBuyRequestPacket	hash	e9c7ef832f907858e1ce62b5fa0f9521a4de1a35f109abc2b0a1f1c3dad81af	0x5693C0	0
kRvaSendRechargeRequestPacket	hash	cd6c935706e2b4f4d9e9836c428a7c174a66a50ee6377b75621b5fc9e086a97	0x56AA30	0
kRvaCmpSellItem	hash	e08b9381f2826d9bcd5059977d3dcd90a859138af9cc8579bac4044a887d64c	0x56D3A0	0
kRvaShopSetRet	plain	e88eb08bae872341669ffd2cd826d4a4e8ee2335482910eb6845a2430f6b8e9::SetRet	0x552500	0
kRvaShopRefreshSell	hash	d750c88eac66981608070abaf6abc03e0d47633fded2c9e65289b92a5d125bb	0x561A60	0
kRvaUiDialogClose	plain	d9d3f3cdf73ab0f14ba28ae7dbf68614b9878f8dd36212f134a85aae0d63785::Close	0x11D0350	0
kRvaButtonPress	plain	UnityEngine.UI.Button::Press	0x50B7550	0
kRvaGoSetActive	plain	UnityEngine.GameObject::set_active	0x4F69870	0
kRvaUiTabOnClickTab	hash	adcaf6dab3ac39e314aef08ca77dad5333e0e9b609e156c155154abb5a2cb83	0xB5A9C0	1
kRvaShopUiTabSelect	hash	a79ba958161a2c7eb13287ee24e71fc2b96c1a87ad841df288fe0d9e93e3b89	0xB63740	0
kRvaGetSkillLevel	hash	d37faec028e1b6715c4d9c406cd743dc89ed2c616dbcc40e32171ad674600f0	0x111F9C0	0
kRvaDoActiveSkill	hash	ba114dca0e12620bbd7e5b1d08ff917743adccf5ee8408e0db915af97efc3ca	0x1120EF0	0
kRvaDoActiveSkillPrepare	hash	b7c9740fe9490aab9603d6c0777b628dc418a08a82e10ed855e119aafbd7cf2	0x11642F0	0
kRvaSendSkillUseRequest	hash	aaf832736ab979dcc8b057f3cf83c31e10293a0cfef4bbe0a524a6dbd4da4cf	0x1178CD0	0
